numero_dpe,date_etablissement_dpe,date_fin_validite_dpe,etiquette_dpe,etiquette_ges,type_batiment,periode_construction,surface_habitable_logement,nom_commune_ban,code_insee_ban,conso_5_usages_par_m2_ep,type_parc,station
2173E0516356R,2021-10-09,2031-10-08,E,D,appartement,2013-2021,28.8,Bourg-Saint-Maurice,73054,83.5,existant,Les Arcs / Bourg-Saint-Maurice
2173E0232535M,2021-08-30,2031-08-29,G,G,appartement,1948-1974,29.9,Tignes,73296,459.3,existant,Tignes
2173E0317524H,2021-09-14,2031-09-13,F,C,appartement,1983-1988,53.6,Bourg-Saint-Maurice,73054,432.9,existant,Les Arcs / Bourg-Saint-Maurice
2173E0178742N,2021-08-15,2031-08-14,B,A,appartement,2013-2021,44.0,Bourg-Saint-Maurice,73054,108.7,existant,Les Arcs / Bourg-Saint-Maurice
2173E0276945O,2021-08-18,2031-08-17,F,C,maison,2001-2005,108.7,Tignes,73296,358.1,existant,Tignes
2173E0020391C,2021-07-07,2031-07-06,E,C,appartement,1948-1974,22.6,La Plagne Tarentaise,73150,354.5,existant,La Plagne
2173E0357751M,2021-07-19,2031-07-18,E,E,appartement,1975-1977,93.7,Bourg-Saint-Maurice,73054,249.5,existant,Les Arcs / Bourg-Saint-Maurice
2173E0190178J,2021-08-18,2031-08-17,F,C,maison,2001-2005,108.7,Tignes,73296,386.0,existant,Tignes
2173E0371715O,2021-09-22,2031-09-21,B,A,appartement,2006-2012,42.2,Sainte-Foy-Tarentaise,73232,87.3,existant,Sainte-Foy
2173E0345678D,2021-09-18,2031-09-17,E,B,appartement,2006-2012,79.5,Tignes,73296,254.3,existant,Tignes
2173E0102447C,2021-07-27,2031-07-26,F,C,appartement,1948-1974,50.9,La Plagne Tarentaise,73150,427.7,existant,La Plagne
2173E0255123G,2021-08-30,2031-08-29,G,C,appartement,1978-1982,34.1,Val-D-Isère,73304,552.7,existant,Val d'Isère
2173E0065624V,2021-07-08,2031-07-07,C,C,appartement,2006-2012,48.3,Bourg-Saint-Maurice,73054,159.3,existant,Les Arcs / Bourg-Saint-Maurice
2173E0046725Y,2021-07-15,2031-07-14,F,C,appartement,1978-1982,34.2,La Plagne Tarentaise,73150,505.3,existant,La Plagne
2173E0285317O,2021-09-08,2031-09-07,G,C,appartement,2006-2012,57.0,Tignes,73296,444.1,existant,Tignes
2173E0292042F,2021-09-01,2031-08-31,C,B,maison,avant 1948,101.0,La Plagne Tarentaise,73150,174.6,existant,La Plagne
2173E0149992T,2021-08-06,2031-08-05,E,C,appartement,1978-1982,38.5,La Plagne Tarentaise,73150,339.3,existant,La Plagne
2173E0191711I,2021-08-19,2031-08-18,E,B,appartement,2013-2021,108.2,La Plagne Tarentaise,73150,285.3,existant,La Plagne
2173E0987556T,2021-12-22,2031-12-21,G,C,appartement,1989-2000,29.6,Bourg-Saint-Maurice,73054,621.0,existant,Les Arcs / Bourg-Saint-Maurice
2173E0170975U,2021-08-12,2031-08-11,E,C,appartement,1975-1977,28.7,Bourg-Saint-Maurice,73054,351.1,existant,Les Arcs / Bourg-Saint-Maurice
2173E0058641G,2021-07-18,2031-07-17,E,C,maison,1989-2000,92.0,Sainte-Foy-Tarentaise,73232,345.1,existant,Sainte-Foy
2173E0514747U,2021-10-09,2031-10-08,F,D,appartement,2013-2021,28.7,Bourg-Saint-Maurice,73054,406.2,existant,Les Arcs / Bourg-Saint-Maurice
2173E0338201O,2021-09-17,2031-09-16,C,B,appartement,1948-1974,19.5,La Plagne Tarentaise,73150,189.3,existant,La Plagne
2173E0089076V,2021-07-16,2031-07-15,G,C,appartement,1983-1988,21.4,La Plagne Tarentaise,73150,560.4,existant,La Plagne
2173E0286896H,2021-09-08,2031-09-07,E,C,appartement,avant 1948,26.3,Bourg-Saint-Maurice,73054,316.9,existant,Les Arcs / Bourg-Saint-Maurice
2173E0313297S,2021-09-14,2031-09-13,C,B,appartement,1948-1974,22.8,La Plagne Tarentaise,73150,150.1,existant,La Plagne
2173E0141587M,2021-08-04,2031-08-03,F,C,appartement,1978-1982,15.0,Tignes,73296,469.7,existant,Tignes
2173E0040548J,2021-07-13,2031-07-12,G,E,maison,1948-1974,139.9,La Plagne Tarentaise,73150,505.8,existant,La Plagne
2173E0213622B,2021-08-25,2031-08-24,G,C,appartement,1975-1977,19.8,La Plagne Tarentaise,73150,782.4,existant,La Plagne
2173E0147922D,2021-08-05,2031-08-04,E,B,appartement,1978-1982,20.9,Bourg-Saint-Maurice,73054,395.5,existant,Les Arcs / Bourg-Saint-Maurice
2173E0228043S,2021-08-16,2031-08-15,F,F,appartement,1948-1974,29.2,Val-D-Isère,73304,332.4,existant,Val d'Isère
2173E0229737W,2021-08-30,2031-08-29,E,B,appartement,1983-1988,21.2,Tignes,73296,322.1,existant,Tignes
2173E0132594P,2021-08-03,2031-08-02,G,C,appartement,1983-1988,21.7,La Plagne Tarentaise,73150,606.3,existant,La Plagne
2173E0292882N,2021-09-09,2031-09-08,F,C,appartement,1983-1988,22.5,Tignes,73296,448.9,existant,Tignes
2173E0143500B,2021-08-04,2031-08-03,D,D,appartement,1989-2000,130.7,Bourg-Saint-Maurice,73054,231.9,existant,Les Arcs / Bourg-Saint-Maurice
2173E0036095C,2021-07-12,2031-07-11,C,A,appartement,2006-2012,38.9,Bourg-Saint-Maurice,73054,137.8,existant,Les Arcs / Bourg-Saint-Maurice
2173E0161088N,2021-08-10,2031-08-09,E,E,appartement,1989-2000,68.9,Bourg-Saint-Maurice,73054,260.9,existant,Les Arcs / Bourg-Saint-Maurice
2173E0138526T,2021-08-04,2031-08-03,F,C,appartement,1983-1988,22.1,La Plagne Tarentaise,73150,527.3,existant,La Plagne
2173E0245599Y,2021-09-01,2031-08-31,D,B,appartement,1989-2000,40.1,La Plagne Tarentaise,73150,241.2,existant,La Plagne
2173E0304217M,2021-09-12,2031-09-11,F,F,appartement,1948-1974,62.4,Tignes,73296,355.5,existant,Tignes
2173E0731856D,2021-11-19,2031-11-18,F,C,appartement,1948-1974,30.4,Bourg-Saint-Maurice,73054,99.8,existant,Les Arcs / Bourg-Saint-Maurice
2173E0224331Y,2021-08-26,2031-08-25,G,C,appartement,1989-2000,26.4,Tignes,73296,480.4,existant,Tignes
2173E0223596R,2021-08-27,2031-08-26,E,C,maison,1978-1982,300.0,La Plagne Tarentaise,73150,312.9,existant,La Plagne
2173E0472702R,2021-10-10,2031-10-09,G,C,appartement,1948-1974,29.4,Bourg-Saint-Maurice,73054,197.3,existant,Les Arcs / Bourg-Saint-Maurice
2173E0513821E,2021-10-09,2031-10-08,E,D,appartement,2013-2021,28.7,Bourg-Saint-Maurice,73054,370.2,existant,Les Arcs / Bourg-Saint-Maurice
2173E0185199W,2021-08-17,2031-08-16,F,C,appartement,1989-2000,86.2,Montvalezan,73176,361.7,existant,La Rosière
2173E0145502B,2021-08-03,2031-08-02,G,C,appartement,1978-1982,22.1,La Plagne Tarentaise,73150,647.5,existant,La Plagne
2673E0224996S,2026-01-26,2036-01-25,E,C,appartement,1983-1988,24.0,Tignes,73296,391.0,existant,Tignes
2173E0103431Y,2021-07-27,2031-07-26,F,C,appartement,1983-1988,22.7,La Plagne Tarentaise,73150,509.3,existant,La Plagne
2173E0539878J,2021-10-15,2031-10-14,G,C,appartement,1983-1988,22.1,Bourg-Saint-Maurice,73054,455.2,existant,Les Arcs / Bourg-Saint-Maurice
2173E0185000F,2021-08-17,2031-08-16,E,C,appartement,1983-1988,31.0,Bourg-Saint-Maurice,73054,333.9,existant,Les Arcs / Bourg-Saint-Maurice
2173E0516306T,2021-10-09,2031-10-08,E,D,appartement,2013-2021,28.8,Bourg-Saint-Maurice,73054,107.3,existant,Les Arcs / Bourg-Saint-Maurice
2173E0533533I,2021-10-09,2031-10-08,E,D,appartement,2013-2021,37.3,Bourg-Saint-Maurice,73054,82.9,existant,Les Arcs / Bourg-Saint-Maurice
2173E0359911O,2021-09-21,2031-09-20,D,B,appartement,1948-1974,22.7,La Plagne Tarentaise,73150,248.0,existant,La Plagne
2173E0869955Q,2021-12-07,2031-12-06,E,B,maison,2001-2005,123.1,Bourg-Saint-Maurice,73054,84.3,existant,Les Arcs / Bourg-Saint-Maurice
2173E0136627S,2021-08-03,2031-08-02,G,C,appartement,1983-1988,21.7,La Plagne Tarentaise,73150,552.7,existant,La Plagne
