id,date,annee,mois,prix,nature_mutation,vefa,codtypbien,type_bien,surface_m2,code_commune,nb_lots,nb_appartements,nb_maisons,commune,prix_m2,altitude,station
6381173,2019-09-20,2019,9,96000.0,Vente,False,121,UN APPARTEMENT,20.0,73296,1,1,0,Tignes,4800.0,2134,Tignes
6383544,2019-07-25,2019,7,784000.0,Vente,False,121,UN APPARTEMENT,158.0,73296,3,1,0,Tignes,4962.03,1630,Tignes
6383746,2019-10-31,2019,10,88000.0,Vente,False,121,UN APPARTEMENT,26.0,73054,1,1,0,Bourg-Saint-Maurice,3384.62,1714,Les Arcs / Bourg-Saint-Maurice
6401375,2019-08-30,2019,8,140000.0,Vente,False,121,UN APPARTEMENT,38.0,73150,1,1,0,La Plagne Tarentaise,3684.21,1201,La Plagne
6405840,2019-12-06,2019,12,81000.0,Vente,False,121,UN APPARTEMENT,35.0,73150,1,1,0,La Plagne Tarentaise,2314.29,1936,La Plagne
6406351,2019-07-24,2019,7,69500.0,Vente,False,121,UN APPARTEMENT,19.0,73150,1,1,0,La Plagne Tarentaise,3657.89,2057,La Plagne
6406596,2019-09-02,2019,9,582500.0,Vente,False,111,UNE MAISON,154.0,73150,1,0,1,La Plagne Tarentaise,3782.47,1138,La Plagne
6408917,2019-07-10,2019,7,106000.0,Vente,False,121,UN APPARTEMENT,26.0,73150,1,1,0,La Plagne Tarentaise,4076.92,1361,La Plagne
6385486,2019-10-08,2019,10,90000.0,Vente,False,121,UN APPARTEMENT,20.0,73176,2,1,0,Montvalezan,4500.0,1885,La Rosière
6394157,2019-08-08,2019,8,570000.0,Vente,False,111,UNE MAISON,86.0,73232,2,0,1,Sainte-Foy-Tarentaise,6627.91,1519,Sainte-Foy
6399939,2019-12-13,2019,12,79000.0,Vente,False,121,UN APPARTEMENT,28.0,73150,1,1,0,La Plagne Tarentaise,2821.43,1365,La Plagne
6400560,2019-12-24,2019,12,187700.0,Vente,False,121,UN APPARTEMENT,41.0,73232,1,1,0,Sainte-Foy-Tarentaise,4578.05,1508,Sainte-Foy
6411797,2019-10-18,2019,10,340000.0,Vente,False,121,UN APPARTEMENT,77.0,73150,1,1,0,La Plagne Tarentaise,4415.58,2083,La Plagne
6417659,2019-07-24,2019,7,617500.0,Vente,False,111,UNE MAISON,180.0,73054,1,0,1,Bourg-Saint-Maurice,3430.56,1228,Les Arcs / Bourg-Saint-Maurice
6421876,2019-08-02,2019,8,200000.0,Vente,False,121,UN APPARTEMENT,48.0,73150,1,1,0,La Plagne Tarentaise,4166.67,2057,La Plagne
6409782,2019-07-24,2019,7,92500.0,Vente,False,121,UN APPARTEMENT,20.0,73054,1,1,0,Bourg-Saint-Maurice,4625.0,1751,Les Arcs / Bourg-Saint-Maurice
6416417,2019-08-29,2019,8,52000.0,Vente,False,121,UN APPARTEMENT,21.0,73150,1,1,0,La Plagne Tarentaise,2476.19,1936,La Plagne
6420788,2019-08-21,2019,8,830000.0,Vente,False,111,UNE MAISON,110.0,73054,1,0,1,Bourg-Saint-Maurice,7545.45,1541,Les Arcs / Bourg-Saint-Maurice
6422756,2019-07-24,2019,7,825800.0,Vente,False,121,UN APPARTEMENT,71.0,73304,1,1,0,Val-d-Isère,11630.99,1817,Val d'Isère
6405654,2019-11-29,2019,11,85500.0,Vente,False,121,UN APPARTEMENT,23.0,73150,2,1,0,La Plagne Tarentaise,3717.39,2057,La Plagne
6420667,2019-12-03,2019,12,170000.0,Vente,False,121,UN APPARTEMENT,56.0,73054,1,1,0,Bourg-Saint-Maurice,3035.71,1238,Les Arcs / Bourg-Saint-Maurice
6422061,2019-10-16,2019,10,58500.0,Vente,False,121,UN APPARTEMENT,25.0,73054,1,1,0,Bourg-Saint-Maurice,2340.0,1714,Les Arcs / Bourg-Saint-Maurice
6423004,2019-07-31,2019,7,250000.0,Vente,False,121,UN APPARTEMENT,23.0,73304,2,1,0,Val-d-Isère,10869.57,1821,Val d'Isère
6423803,2019-12-07,2019,12,420000.0,Vente,False,121,UN APPARTEMENT,52.0,73197,1,1,0,Peisey-Nancroix,8076.92,1589,Peisey-Vallandry
6430988,2019-08-29,2019,8,79700.0,Vente,False,121,UN APPARTEMENT,30.0,73054,2,1,0,Bourg-Saint-Maurice,2656.67,1604,Les Arcs / Bourg-Saint-Maurice
6423019,2019-12-19,2019,12,150000.0,Vente,False,121,UN APPARTEMENT,48.0,73150,2,1,0,La Plagne Tarentaise,3125.0,1835,La Plagne
6431565,2019-12-17,2019,12,140000.0,Vente,False,121,UN APPARTEMENT,49.0,73054,1,1,0,Bourg-Saint-Maurice,2857.14,833,Les Arcs / Bourg-Saint-Maurice
6432096,2019-08-29,2019,8,75000.0,Vente,False,121,UN APPARTEMENT,21.0,73296,1,1,0,Tignes,3571.43,1805,Tignes
6434599,2019-11-27,2019,11,52300.0,Vente,False,121,UN APPARTEMENT,18.0,73150,1,1,0,La Plagne Tarentaise,2905.56,1965,La Plagne
